时间段,语言,类型,出版社,字数,评级
/,中文,学术专著/译著,人民出版社,15万,A
/,中文,学术专著/译著,商务印书馆,15万,A
/,中文,学术专著/译著,中华书局,15万,A
/,中文,学术专著/译著,高等教育出版社,15万,A
/,中文,学术专著/译著,人民教育出版社,15万,A
/,中文,学术专著/译著,科学出版社,15万,A
/,中文,学术专著/译著,生活.读书.新知三联书店,15万,A
/,中文,学术专著/译著,中国社会科学出版社,15万,A
/,中文,学术专著/译著,人民文学出版社,15万,A
/,中文,学术专著/译著,中国科学技术出版社,15万,A
/,中文,学术专著/译著,上海古籍出版社,15万,A
/,中文,学术专著/译著,中国经济出版社,15万,B
/,中文,学术专著/译著,社会科学文献出版社,15万,B
/,中文,学术专著/译著,新华出版社,15万,B
/,中文,学术专著/译著,中共中央党校出版社,15万,B
/,中文,学术专著/译著,外国文学出版社,15万,B
/,中文,学术专著/译著,经济管理出版社,15万,B
/,中文,学术专著/译著,文物出版社,15万,B
/,中文,学术专著/译著,人民美术出版社,15万,B
/,中文,学术专著/译著,人民体育出版社,15万,B
/,中文,学术专著/译著,中国戏剧出版社,15万,B
/,中文,学术专著/译著,安徽人民出版社,15万,B
/,中文,学术专著/译著,北京出版社,15万,B
/,中文,学术专著/译著,长春出版社,15万,B
/,中文,学术专著/译著,重庆出版社,15万,B
/,中文,学术专著/译著,党建读物出版社,15万,B
/,中文,学术专著/译著,法律出版社,15万,B
/,中文,学术专著/译著,湖南人民出版社,15万,B
/,中文,学术专著/译著,吉林出版集团有限责任公司,15万,B
/,中文,学术专著/译著,江苏人民出版社,15万,B
/,中文,学术专著/译著,江西人民出版社,15万,B
/,中文,学术专著/译著,解放军出版社,15万,B
/,中文,学术专著/译著,经济科学出版社,15万,B
/,中文,学术专著/译著,九州出版社,15万,B
/,中文,学术专著/译著,青岛出版社,15万,B
/,中文,学术专著/译著,山东人民出版社,15万,B
/,中文,学术专著/译著,商务印书馆,15万,B
/,中文,学术专著/译著,上海人民出版社,15万,B
/,中文,学术专著/译著,生活.读书.新知三联书店,15万,B
/,中文,学术专著/译著,外文出版社,15万,B
/,中文,学术专著/译著,学习出版社,15万,B
/,中文,学术专著/译著,知识产权出版社,15万,B
