成果发表时间,语言,来源,学科,划分,等级
2025年1月1日 - 至今,中文,CSSCI,法学,中国法学,A
2025年1月1日 - 至今,中文,CSSCI,法学,法学研究,A
2025年1月1日 - 至今,中文,CSSCI,法学,中外法学,A
2025年1月1日 - 至今,中文,CSSCI,法学,清华法学,B
2025年1月1日 - 至今,中文,CSSCI,法学,法学,B
2025年1月1日 - 至今,中文,CSSCI,法学,法学家,B
2025年1月1日 - 至今,中文,CSSCI,法学,法商研究,B
2025年1月1日 - 至今,中文,CSSCI,法学,当代法学,B
2025年1月1日 - 至今,中文,CSSCI,法学,法制与社会发展,B
2025年1月1日 - 至今,中文,CSSCI,法学,法律科学(西北政法大学学报),B
2025年1月1日 - 至今,中文,CSSCI,法学,现代法学,B
2025年1月1日 - 至今,中文,CSSCI,法学,法学评论,B
2025年1月1日 - 至今,中文,CSSCI,法学,政法论坛,B
2025年1月1日 - 至今,中文,CSSCI,法学,比较法研究,C
2025年1月1日 - 至今,中文,CSSCI,法学,财经法学,C
2025年1月1日 - 至今,中文,CSSCI,法学,东方法学,C
2025年1月1日 - 至今,中文,CSSCI,法学,法律适用,C
2025年1月1日 - 至今,中文,CSSCI,法学,法学论坛,C
2025年1月1日 - 至今,中文,CSSCI,法学,法学杂志,C
2025年1月1日 - 至今,中文,CSSCI,法学,法治研究,C
2025年1月1日 - 至今,中文,CSSCI,法学,国家检察官学院学报,C
2025年1月1日 - 至今,中文,CSSCI,法学,华东政法大学学报,C
2025年1月1日 - 至今,中文,CSSCI,法学,环球法律评论,C
2025年1月1日 - 至今,中文,CSSCI,法学,南大法学,C
2025年1月1日 - 至今,中文,CSSCI,法学,行政法学研究,C
2025年1月1日 - 至今,中文,CSSCI,法学,月旦法学,C
2025年1月1日 - 至今,中文,CSSCI,法学,政大法学评论,C
2025年1月1日 - 至今,中文,CSSCI,法学,政法论丛,C
2025年1月1日 - 至今,中文,CSSCI,法学,政治与法律,C
2025年1月1日 - 至今,中文,CSSCI,法学,知识产权,C
2025年1月1日 - 至今,中文,CSSCI,法学,中国法律评论,C
2025年1月1日 - 至今,中文,CSSCI,法学,中国刑事法杂志,C
2025年1月1日 - 至今,中文,CSSCI,法学,中国应用法学,C
2025年1月1日 - 至今,中文,CSSCI,管理学,管理世界,A
2025年1月1日 - 至今,中文,CSSCI,管理学,南开管理评论,A
2025年1月1日 - 至今,中文,CSSCI,管理学,公共管理学报,A
2025年1月1日 - 至今,中文,CSSCI,管理学,会计研究,A
2025年1月1日 - 至今,中文,CSSCI,管理学,科学学研究,B
2025年1月1日 - 至今,中文,CSSCI,管理学,科研管理,B
2025年1月1日 - 至今,中文,CSSCI,管理学,中国软科学,B
2025年1月1日 - 至今,中文,CSSCI,管理学,管理科学,B
2025年1月1日 - 至今,中文,CSSCI,管理学,科学学与科学技术管理,B
2025年1月1日 - 至今,中文,CSSCI,管理学,管理科学学报,B
2025年1月1日 - 至今,中文,CSSCI,管理学,研究与发展管理,B
2025年1月1日 - 至今,中文,CSSCI,管理学,外国经济与管理,B
2025年1月1日 - 至今,中文,CSSCI,管理学,管理评论,B
2025年1月1日 - 至今,中文,CSSCI,管理学,中国行政管理,B
2025年1月1日 - 至今,中文,CSSCI,管理学,管理学报,B
2025年1月1日 - 至今,中文,CSSCI,管理学,中国管理科学,B
2025年1月1日 - 至今,中文,CSSCI,管理学,审计研究,B
2025年1月1日 - 至今,中文,CSSCI,管理学,管理工程学报,C
2025年1月1日 - 至今,中文,CSSCI,管理学,当代经济管理,C
2025年1月1日 - 至今,中文,CSSCI,管理学,电子政务,C
2025年1月1日 - 至今,中文,CSSCI,管理学,工程管理科技前沿,C
2025年1月1日 - 至今,中文,CSSCI,管理学,公共管理评论,C
2025年1月1日 - 至今,中文,CSSCI,管理学,公共管理与政策评论,C
2025年1月1日 - 至今,中文,CSSCI,管理学,管理学报(台湾),C
2025年1月1日 - 至今,中文,CSSCI,管理学,管理学刊,C
2025年1月1日 - 至今,中文,CSSCI,管理学,宏观质量研究,C
2025年1月1日 - 至今,中文,CSSCI,管理学,华东经济管理,C
2025年1月1日 - 至今,中文,CSSCI,管理学,会计评论,C
2025年1月1日 - 至今,中文,CSSCI,管理学,会计与经济研究,C
2025年1月1日 - 至今,中文,CSSCI,管理学,经济管理,C
2025年1月1日 - 至今,中文,CSSCI,管理学,经济体制改革,C
2025年1月1日 - 至今,中文,CSSCI,管理学,科技进步与对策,C
2025年1月1日 - 至今,中文,CSSCI,管理学,软科学,C
2025年1月1日 - 至今,中文,CSSCI,管理学,社会保障评论,C
2025年1月1日 - 至今,中文,CSSCI,管理学,审计与经济研究,C
2025年1月1日 - 至今,中文,CSSCI,管理学,系统工程理论与实践,C
2025年1月1日 - 至今,中文,CSSCI,管理学,系统管理学报,C
2025年1月1日 - 至今,中文,CSSCI,管理学,行政管理改革,C
2025年1月1日 - 至今,中文,CSSCI,管理学,证券市场发展季刊,C
2025年1月1日 - 至今,中文,CSSCI,管理学,治理研究,C
2025年1月1日 - 至今,中文,CSSCI,管理学,中国科技论坛,C
2025年1月1日 - 至今,中文,CSSCI,管理学,中国科学院院刊,C
2025年1月1日 - 至今,中文,CSSCI,管理学,中国人力资源开发,C
2025年1月1日 - 至今,中文,CSSCI,管理学,组织与管理,C
2025年1月1日 - 至今,中文,CSSCI,教育学,教育研究,A
2025年1月1日 - 至今,中文,CSSCI,教育学,开放教育研究,A
2025年1月1日 - 至今,中文,CSSCI,教育学,北京大学教育评论,A
2025年1月1日 - 至今,中文,CSSCI,教育学,高等教育研究,A
2025年1月1日 - 至今,中文,CSSCI,教育学,现代远程教育研究,A
2025年1月1日 - 至今,中文,CSSCI,教育学,远程教育杂志,B
2025年1月1日 - 至今,中文,CSSCI,教育学,中国电化教育,B
2025年1月1日 - 至今,中文,CSSCI,教育学,电化教育研究,B
2025年1月1日 - 至今,中文,CSSCI,教育学,清华大学教育研究,B
2025年1月1日 - 至今,中文,CSSCI,教育学,中国高教研究,B
2025年1月1日 - 至今,中文,CSSCI,教育学,现代教育技术,B
2025年1月1日 - 至今,中文,CSSCI,教育学,中国远程教育,B
